lon,lat,mag,time_string,depth,catalog_id,event_id
24.71,35.65,4.4,2013-03-25T20:55:19,59.0,,317
24.31,36.02,4.2,2013-03-31T16:28:10,70.0,,318
23.3,34.9,4.6,2013-04-03T13:28:42,53.0,,319
7.78,33.75,4.4,2013-04-04T18:58:22,10.0,,320
24.09,34.8,5.4,2013-04-06T11:26:00,40.0,,321
23.03,36.53,4.7,2013-04-09T03:36:28,21.0,,322
20.34,47.69,4.6,2013-04-22T22:28:47,10.0,,323
20.57,38.39,4.5,2013-04-23T00:47:30,2.0,,324
22.94,36.75,4.3,2013-04-24T20:12:36,11.0,,325
22.22,38.26,4.4,2013-04-28T04:49:57,50.0,,326
22.7,37.45,4.5,2013-04-28T16:31:00,58.0,,327
12.33,32.8,4.8,2013-05-11T04:42:39,15.0,,328
28.39,37.05,5.0,2013-05-16T03:02:00,3.0,,329
5.18,36.76,5.2,2013-05-19T09:07:27,2.0,,330
25.03,34.23,4.7,2013-05-23T04:00:39,26.0,,331
20.45,38.66,4.7,2013-05-23T14:09:00,2.0,,332
5.19,36.71,4.7,2013-05-26T16:00:56,12.0,,333
19.4,34.95,4.3,2013-06-02T02:47:57,10.0,,334
21.75,36.71,5.0,2013-06-06T11:53:46,40.0,,335
13.87,43.58,4.1,2013-06-13T05:44:52,6.0,,336
25.0,34.23,6.3,2013-06-15T16:10:59,10.0,,337
25.13,34.25,4.4,2013-06-16T00:53:37,30.0,,338
14.83,45.78,3.9,2013-06-16T20:05:00,10.0,,339
25.03,34.3,6.1,2013-06-16T21:39:00,10.0,,340
22.07,36.87,4.3,2013-06-18T17:18:25,10.0,,341
25.01,34.21,4.6,2013-06-18T22:27:00,20.0,,342
25.1,34.28,4.9,2013-06-19T19:05:00,10.0,,343
10.14,44.15,5.4,2013-06-21T10:33:57,5.1,,344
10.15,44.16,4.3,2013-06-21T12:12:39,10.0,,345
19.58,40.21,4.4,2013-06-22T08:41:00,10.0,,346
10.21,44.18,4.7,2013-06-23T15:01:33,9.5,,347
10.2,44.17,4.8,2013-06-30T14:40:00,9.8,,348
21.86,40.13,4.9,2013-07-03T13:28:23,17.0,,349
3.02,36.55,5.0,2013-07-17T03:00:56,10.0,,350
13.74,43.53,5.2,2013-07-21T01:32:24,10.0,,351
13.73,43.51,4.2,2013-07-21T03:07:25,10.0,,352
34.35,40.99,4.5,2013-07-28T18:57:56,10.0,,353
25.88,40.32,5.1,2013-07-30T05:33:00,10.0,,354
15.09,45.14,4.6,2013-07-30T12:58:33,20.0,,355
21.49,36.63,4.4,2013-07-31T10:36:22,49.0,,356
29.42,39.19,4.3,2013-08-07T05:20:32,14.0,,357
22.69,38.69,5.5,2013-08-07T09:06:52,10.0,,358
22.66,38.69,4.7,2013-08-07T13:44:32,10.0,,359
20.47,39.35,4.7,2013-08-09T04:19:23,10.0,,360
22.69,38.7,4.9,2013-08-09T11:49:23,10.0,,361
22.66,38.7,4.9,2013-08-09T13:10:10,10.0,,362
27.72,33.76,4.3,2013-08-11T17:23:21,60.0,,363
13.69,43.58,4.5,2013-08-22T06:44:52,10.0,,364
27.41,40.35,4.1,2013-08-29T06:20:35,10.0,,365
15.4,39.51,4.5,2013-09-02T01:14:14,326.0,,366
25.01,34.8,4.9,2013-09-08T04:59:30,10.0,,367
22.89,45.6,4.5,2013-09-08T13:22:12,10.0,,368
20.22,37.83,4.2,2013-09-09T11:18:57,10.0,,369
20.77,38.03,4.6,2013-09-09T17:35:16,22.0,,370
22.71,38.68,4.8,2013-09-16T14:42:40,10.0,,371
22.73,38.71,5.4,2013-09-16T15:01:14,10.0,,372
25.15,34.18,4.4,2013-09-18T18:32:56,10.0,,373
23.11,38.18,4.5,2013-09-20T02:05:18,10.0,,374
26.69,45.64,5.3,2013-10-06T01:37:21,134.0,,375
15.8,33.18,4.1,2013-10-09T17:22:47,10.0,,376
21.86,36.21,4.6,2013-10-10T12:26:48,30.0,,377
23.41,40.69,4.4,2013-10-11T05:15:46,10.0,,378
23.31,35.56,6.5,2013-10-12T13:11:54,47.0,,379
26.56,45.64,4.7,2013-10-15T19:33:12,136.0,,380
27.33,36.61,4.1,2013-10-18T01:26:48,125.0,,381
10.98,35.61,4.7,2013-10-18T15:08:32,10.0,,382
23.01,35.22,4.1,2013-10-19T02:19:16,20.0,,383
25.13,34.88,4.5,2013-10-19T16:52:00,10.0,,384
10.93,35.6,4.5,2013-10-21T19:37:00,10.0,,385
34.43,36.23,4.5,2013-10-23T12:24:23,10.0,,386
23.1,38.92,4.9,2013-11-12T18:09:28,10.0,,387
27.85,34.86,4.6,2013-11-13T07:13:51,10.0,,388
16.86,43.66,4.4,2013-11-18T07:58:41,10.0,,389
21.0,42.89,4.3,2013-11-18T13:15:00,10.0,,390
26.73,45.79,4.4,2013-11-21T06:38:52,90.0,,391
9.0,44.91,4.0,2013-11-21T10:36:49,10.0,,392
25.66,33.99,4.6,2013-11-24T03:28:50,40.0,,393
31.87,40.78,4.8,2013-11-24T20:49:38,10.0,,394
27.92,40.85,4.7,2013-11-27T04:13:37,10.0,,395
23.02,37.34,4.3,2013-11-27T14:21:16,13.0,,396
22.56,35.24,4.2,2013-11-29T23:47:36,10.0,,397
31.26,36.54,4.8,2013-12-08T17:31:57,90.0,,398
21.29,36.26,4.7,2013-12-10T15:24:27,10.0,,399
19.27,42.43,4.3,2013-12-10T18:33:00,13.0,,400
22.3,38.99,4.3,2013-12-11T13:00:54,12.0,,401
14.94,36.67,4.1,2013-12-15T03:57:33,15.0,,402
12.53,43.38,4.2,2013-12-18T10:58:51,15.0,,403
12.52,43.38,4.3,2013-12-22T10:06:35,10.0,,404
26.27,34.85,4.6,2013-12-24T03:32:50,15.0,,405
31.06,36.94,4.3,2013-12-25T18:11:36,91.0,,406
31.29,35.96,5.9,2013-12-28T15:21:00,64.0,,407
17.3,43.12,4.3,2013-12-29T06:54:58,10.0,,408
14.45,41.37,5.2,2013-12-29T17:08:43,11.0,,409
25.28,34.55,4.6,2013-12-31T15:06:17,50.0,,410
21.01,37.91,4.9,2014-01-11T04:12:57,10.0,,411
